osmid,rainfall_mm
49961799,0.0
46337834,0.0
627326844,0.0
150829205,0.0
633215386,0.0
634682596,0.0
481674707,0.0
643413273,0.0
481674706,0.0
786458587,0.0
21673088,0.0
633613299,0.0
74776949,0.0
120106012,0.0
480488529,0.0
745701824,0.0
173767774,0.0
474301011,0.0
34878741,0.0
481673127,0.0
633219856,0.0
635500608,0.0
627703714,0.0
654765481,0.0
396336421,0.0
636702363,0.0
396336420,0.0
21809808,0.0
396336423,0.0
21673088,0.0
33280680,0.0
74628574,0.0
396336410,0.0
647750761,0.0
396336417,0.0
633243688,0.0
200159305,0.0
745356251,0.0
46705560,0.0
74864002,0.0
654443170,0.0
747280760,0.0
666600898,0.0
21998983,0.0
49961800,0.0
121906574,0.0
763521360,0.0
74731121,0.0
395443688,0.0
463526658,0.0
162783049,0.0
479542560,0.0
635147471,0.0
173166889,0.0
481882693,0.0
633279967,0.0
597548013,0.0
173767771,0.0
766128351,0.0
665481184,0.0
545574465,0.0
829060936,0.0
480684173,0.0
632148246,0.0
46650501,0.0
727486176,0.0
727505664,0.0
465059833,0.0
634155138,0.0
634155137,0.0
635505965,0.0
633369736,0.0
633335608,0.0
459186768,0.0
477930085,0.0
637031015,0.0
46671395,0.0
481882968,0.0
176204472,0.0
176204512,0.0
477920706,0.0
459186758,0.0
22919808,0.0
448937533,0.0
635161282,0.0
447712968,0.0
477904602,0.0
632200982,0.0
49961721,0.0
536908863,0.0
22674911,0.0
173713414,0.0
536908860,0.0
651078308,0.0
465055379,0.0
448937531,0.0
633328387,0.0
633345488,0.0
786490610,0.0
751804395,0.0
481615565,0.0
633369730,0.0
747369960,0.0
21943945,0.0
173713426,0.0
844941345,0.0
480927680,0.0
539598755,0.0
1167891737,0.0
633195232,0.0
22382277,0.0
746628772,0.0
480927678,0.013
173713419,0.0
173713418,0.0
828362671,0.0
173713420,0.0
480927674,0.0
480533132,0.0
22932588,0.0
828702327,0.0
174281636,0.0
174281635,0.0
728162817,0.0
167803328,0.0
633422288,0.0
22932584,0.0
665733280,0.0
173791989,0.0
45418008,0.0
313510736,0.0
633809832,0.0
9585045,0.0
167803330,0.0
480533137,0.0
725436640,0.0
480657519,0.0
725436639,0.0
9585074,0.0
74928397,0.0
594262556,0.0
9585621,0.0
594262554,0.0
481676025,0.0
22896520,0.0
21940424,0.0
630418176,0.0
482032036,0.0
633213594,0.0
75113643,0.0
747084883,0.0
172518479,0.0
633179716,0.0
184650708,0.0
754145076,0.0
9585771,0.0
21940418,0.0
727564512,0.0
480957623,0.0
651057197,0.0
638285872,0.0
74928386,0.0
727564514,0.0
480934381,0.0
630419585,0.0
536908890,0.0
640183992,0.0
760451204,0.0
536908892,0.0
536908879,0.0
639550790,0.0
724885273,0.0
665776853,0.0
665776858,0.0
633265315,0.0
445282943,0.0
9588130,0.0
745352144,0.0
38533985,0.0
634175010,0.0
646965008,0.0
666005220,0.0
652315969,0.0
632495826,0.0
478336694,0.0
649064829,0.0
479564544,0.0
539591211,0.0
842732512,0.0
38533988,0.0
778743371,0.0
541174862,0.0
764068788,0.0
174262766,0.0
633812200,0.0
21567397,0.0
651186800,0.0
654860384,0.0
9590308,0.0
480876258,0.0
534985185,0.0
534985185,0.0
654860384,0.0
484857200,0.0
480257499,0.0
121882984,0.0
75536128,0.0
173767834,0.0
173767818,0.0
173767817,0.0
656741947,0.0
576783718,0.0
583453842,0.0
22029908,0.0
538223064,0.0
174552492,0.0
654860379,0.0
75392764,0.0
654757120,0.0
173779728,0.0
75392772,0.0
638058240,0.0
787035859,0.0
45248324,0.0
34122802,0.0
479174082,0.0
479172226,0.0
22741875,0.0
793780490,0.0
635139089,0.0
480749315,0.0
480866573,0.0
226209024,0.0
121753596,0.0
173913056,0.0
174552474,0.0
44628854,0.0
479303944,0.0
75414322,0.0
744926558,0.0
173913071,0.0
479303937,0.0
75007288,0.0
479167586,0.0
75044394,0.0
688723727,0.0
480749008,0.0
649613505,0.0
75007297,0.0
701603699,0.0
480880473,0.0
45071009,0.0
480748369,0.0
479166724,0.0
173913043,0.0
22945259,0.0
480748362,0.0
633417627,0.0
176296640,0.0
