station_id,station_name,latitude,longitude,rainfall_mm,timestamp
S123,Towner Road,1.3214,103.8577,0.0,2024-01-03T00:05:00+08:00
S89,Tuas Road,1.31985,103.66162,0.0,2024-01-03T00:05:00+08:00
S115,Tuas South Avenue 3,1.29377,103.61843,0.0,2024-01-03T00:05:00+08:00
S24,Upper Changi Road North,1.3678,103.9826,0.0,2024-01-03T00:05:00+08:00
S69,Upper Peirce Reservoir Park,1.37,103.805,0.0,2024-01-03T00:05:00+08:00
S08,Upper Thomson Road,1.3701,103.8271,0.0,2024-01-03T00:05:00+08:00
S116,West Coast Highway,1.281,103.754,0.0,2024-01-03T00:05:00+08:00
S104,Woodlands Avenue 9,1.44387,103.78538,0.0,2024-01-03T00:05:00+08:00
S77,Alexandra Road,1.2937,103.8125,0.0,2024-01-04T00:05:00+08:00
S109,Ang Mo Kio Avenue 5,1.3764,103.8492,0.0,2024-01-04T00:05:00+08:00
S117,Banyan Road,1.256,103.679,0.0,2024-01-04T00:05:00+08:00
S64,Bukit Panjang Road,1.3824,103.7603,0.0,2024-01-04T00:05:00+08:00
S90,Bukit Timah Road,1.3191,103.8191,0.0,2024-01-04T00:05:00+08:00
S114,Choa Chu Kang Avenue 4,1.38,103.73,0.0,2024-01-04T00:05:00+08:00
S50,Clementi Road,1.3337,103.7768,0.0,2024-01-04T00:05:00+08:00
S107,East Coast Parkway,1.3135,103.9625,0.0,2024-01-04T00:05:00+08:00
S215,GEYLANG EAST CENTRAL,1.32785,103.88899,0.0,2024-01-04T00:05:00+08:00
S118,Handy Road,1.2994,103.8461,0.0,2024-01-04T00:05:00+08:00
S120,Holland Road,1.30874,103.818,0.0,2024-01-04T00:05:00+08:00
S33,Jurong Pier Road,1.3081,103.71,0.0,2024-01-04T00:05:00+08:00
S71,Kent Ridge Road,1.2923,103.7815,0.0,2024-01-04T00:05:00+08:00
S43,Kim Chuan Road,1.3399,103.8878,0.0,2024-01-04T00:05:00+08:00
S66,Kranji Way,1.4387,103.7363,0.0,2024-01-04T00:05:00+08:00
S112,Lim Chu Kang Road,1.43854,103.70131,0.0,2024-01-04T00:05:00+08:00
S07,Lornie Road,1.3415,103.8334,0.0,2024-01-04T00:05:00+08:00
