Location,Latitude,Longitude
8 Paya Lebar Rd (towards Sims Ave) near Ubi Ave 2,1.326514,103.8903354
9 Race Course Rd (towards Balestier Rd) near Perumal Rd,1.3132829,103.8551423
10 Raffles Boulevard (between Temasek Boulevard and Nicoll Highway),1.2927025,103.8566052
11 Sims Ave (between Lor 23 and Lor 25A),1.3149803,103.8819471
12 Teck Whye Ave (twds Choa Chu Kang Rd) near Teck Whye Ln,1.3812446,103.7540111
13 Upper Thomson Rd (towards Lornie Rd) near Windsor Park Rd,1.3581885,103.828767
14 Yio Chu Kang Rd (towards Upp Thomson Rd) near Plantation Ave,1.3592934,103.873872
15 AYE(City) near Clementi Ave 2,1.3088873,103.7656981
16 BKE(PIE) before KJE,1.3925761,103.7742093
17 BKE(Wlds) before Woodlands Centre Rd,1.4375991,103.7684174
18 BKE(Wlds) near KJE,1.3881383,103.7745462
19 BKE(Wlds) before SLE,1.4174245,103.7712508
20 BKE(Wlds) before Woodlands Ave 3,1.4290826,103.7696086
21 CTE(City) before Balestier Rd,1.3202127,103.8545491
22 CTE(City) near Braddell Rd,1.3460496,103.8593538
23 KJE (PIE) before Brickland Rd,1.3811799,103.7353988
24 PIE(Changi) before Adam Rd,1.3337634,103.8138354
25 PIE(Changi) near Onraet Rd,1.3259543,103.8320445
"26 SLE(BKE) at Upp Seletar flyover
",1.4018239,103.8121863
27 SLE(BKE) near Mandai Rd,1.4154237,103.8047539
28 SLE (CTE) near Lentor Ave,1.3937728,103.8316762
29 TPE(PIE) near Tampines flyover,1.3856162,103.9146366
30 Admiralty Rd West / Woodlands Ave 8,1.4564602,103.800581
31 Ang Mo Kio Ave 10 / Ang Mo Kio Ave 3,1.3691787,103.8567848
32 Kallang Rd / Lavender St/ Crawford St,1.3085411,103.8639902
33 Lower Delta Rd / Tiong Bahru Rd,1.2863075,103.825321
34 Punggol Ctrl / Punggol Road,1.4029182,103.9062865
35 Sin Ming Ave / Marymount Rd,1.3608491,103.8417855
36 Upper Serangoon Rd / Braddell Rd / Bartley Rd,1.3431926,103.8706742
37 Upper Serangoon Rd / Buangkok D,1.3803267,103.9035236
38 Victoria St / Jln Sultan,1.3050285,103.8602096
1 Admiralty Rd West / Woodlands Ave 8,1.4566271,103.8004516
2 Ang Mo Kio Ave 5 / Yio Chu Kang Rd / Buangkok Green,1.3789385,103.8766382
3 Ang Mo Kio Ave 10 / Ang Mo Kio Ave 3,1.3691254,103.8568548
4 AYE (ECP) near Clementi Ave 2,1.3097553,103.76508
5 BKE (PIE) before KJE (PIE) exit,1.3918581,103.7743363
6 BKE (PIE) near KJE,1.3903293,103.7743265
7 BKE (Wlds) before Woodlands Centre Rd,1.4387116,103.7684355
8 BKE (Wlds) near KJE,1.3892918,103.7744904
9 BKE (Wlds) near SLE,1.4172808,103.771273
10 BKE (Wlds) near Woodlands Ave 3,1.4300216,103.7692989
11 Bt Batok Rd (twds Choa Chu Kang Rd) near Bt Batok West Ave 3 junction,1.3494542,103.7380068
12 Bt Panjang Rd / Bt Panjang Ring Rd / Pending Rd,1.3773765,103.7718739
13 CTE (City) near Balestier Rd,1.319513,103.8537448
14 CTE (City) near Braddell Rd,1.344778,103.8598166
15 ECP (AYE) near Still Rd South,1.3017295,103.9119223
16 Geylang Rd (between Aljunied Rd/Lor 22 and Lor 24),1.3131128,103.8823381
17 Jurong West Ave 1 / Corporation Rd,1.3489872,103.7146034
18 Kallang Rd / Lavender St/ Crawford St,1.3083405,103.8640827
19 KJE (PIE) near Brickland Rd,1.3800658,103.7342055
20 Lower Delta Rd / Tiong Bahru Rd,1.2863222,103.8252821
21 Paya Lebar Rd (towards Sims Ave) near Ubi Ave 2,1.3266108,103.8903788
22 Punggol Ctrl / Punggol Road,1.4029098,103.9063301
23 Raffles Boulevard (between Temasek Boulevard and Nicoll Highway),1.2927092,103.8566342
24 Serangoon Rd (between Balestier Rd / Lavender St - Towner Rd / Boon Keng Rd),1.3172703,103.8597791
25 Sin Ming Ave / Marymount Rd,1.3608589,103.8418119
26 SLE (BKE) at Upp Seletar flyover,1.4017944,103.8122084
27 SLE (BKE) near Mandai Rd,1.4139252,103.8058196
28 SLE (CTE) near Lentor Ave,1.3940889,103.8327982
29 SLE (CTE) near Mandai Rd,1.4150721,103.8052621
30 TPE (PIE) near Tampines flyover,1.3844222,103.9156855
31 Teck Whye Ave (twds Choa Chu Kang Rd) near Teck Whye Ln,1.3812929,103.7539387
32 Upper Serangoon Rd / Braddell Rd / Bartley Rd,1.3431065,103.870567
33 Upper Serangoon Rd / Buangkok Dr,1.3803301,103.9034721
34 Victoria St / Jln Sultan,1.304985,103.860175
35 Victoria St / Rochor Rd,1.3006323,103.855864
Dover Close East,1.3037887,103.7862278
